title,artist,genre,released_year,song_key,bpm,camelot,Instrumental_type,ranked
Tnt,Ac/Dc,Classic Rock,1976,A Major,126,11B,No
All For Love,Madison Beer,Pop,2015,D-Flat Minor,120,12A,No
Sweat <David Guetta Remix>,Snoop Dogg,Edm/Pop,2012,G Major,130,9B,No
Love No More,Loud Luxury,Dance Pop,2018,C Major,121,8B,No
Down,Jay Sean,Pop,2009,D Major,66,10B,No
Unsteady,X Ambassadors,Tropical,2015,C Major,117,8B,No
Cry Me A River,Justin Timberlake,Pop,2002,A-Flat Minor,74,1A,No
Paris <Vinai Remix>,The Chainsmokers,Edm/Pop,2017,D Major,100,10B,No
Bad,David Guetta,Edm/Pop,2015,F Minor,128,4A,No
Dangerous Woman,Ariana Grande,Pop,2016,E Minor,134,9A,No
You And Me,Lifehouse,Rock,2005,G Major,140,9B,No
Miami 82 <Kygo Remix>,Syn Cole,Edm/Pop,2014,D Minor,113,7A,No
Never Let You Go,Slushii,Edm/Pop,2019,D-Flat Major,165,3B,No
Humble,Kendrick Lamar,Edm/Pop,2017,D-Flat Minor,150,12A,No
Kill Em With Kindness,Selena Gomez,Edm/Pop,2015,B-Flat Minor,120,3A,No
Party For One,Carly Rae Jepsen,Dance Pop,2019,F-Sharp Major,123,2B,No
Renegades <Stash Konig Remix>,X Ambassadors,Edm/Pop,2015,G Major,128,9B,No
Blow Your Mind,Dua Lipa,Edm/Pop,2016,D Minor,109,7A,No
Pump It,The Black Eyed Peas,Edm/Pop,2005,D-Flat Minor,154,12A,No
Just Like Fire,Pink,Edm/Pop,2016,G Major,163,9B,No
Tusa,Karol G,Dance Pop,2019,D Major,101,10B,No
Somebody,Erlandsson,Dance Pop,2019,C Major,125,8B,No
Therapy,Armin Van Buuren,Dance Pop,2018,D Minor,115,7A,No
Midnight Sky,Sol Calor,Tropical,2017,G Major,91,9B,No
I Luv U,Sofia Carson & R3Hab,Pop,2019,D-Flat Major,96,3B,No
There'S Nothing Holdin' Me Back,Shawn Mendes,Pop,2017,B Minor,122,10A,No
Mama,Jonas Blue,Dance Pop,2018,B Minor,104,10A,No
Safe And Sound <Dzeko & Torres Remix>,Capital Cities,Edm,2013,D-Flat Major,126,3B,No
Seventeen,Troye Sivan,Pop,2018,E Major,119,12B,No
Burn Out,Martin Garrix,Dance Pop,2018,E Minor,128,9A,No
Somebody To Love <Remix>,Justin Bieber,Edm/Pop,2011,F Major,130,7B,No
Fade Away,Sam Feldt,Edm/Pop,2017,E Minor,105,9A,No
Give It To Em,Akon,Pop,2013,G Minor,158,6A,No
This Is Love,Will I Am,Pop,2013,C Minor,129,5A,No
Friends,Justin Bieber,Dance Pop,2017,A-Flat Major,105,4B,No
Bad,R3Hab,Edm,2019,A-Flat Major,125,4B,No
Drama Queen,Lindsay Lohan,Pop,2004,D Major,130,10B,No
Meant To Be,Bebe Rexha,Pop,2017,B-Flat Major,154,6B,No
Insomnia,Daya,Pop,2019,G Major,123,9B,No
On The Floor,Jennifer Lopez,Pop,2011,B Major,130,1B,No
I'M Not Alright,Loud Luxury,Dance Pop,2019,E Major,122,12B,No
Younger <Kygo Remix>,Seinabo Sey,Tropical,2014,F Major,114,7B,No
Breathe <Syris Remix>,Mako,Edm/Pop,2018,F Minor,139,4A,No
Rare,Selena Gomez,Dance Pop,2020,F Major,115,7B,No
Fire,Matthew Finley,Pop,2010,A-Flat Minor,120,1A,No
Breathe,Herb Barclay,Dance Pop,2019,D-Flat Minor,128,12A,No
False Alarm,Matoma,Tropical,2016,F Minor,103,4A,No
Xo Tour Llif3,Lil Uzi Vert,Edm/Pop,2017,B Minor,155,10A,No
Light <Grant Remix>,San Holo,Edm/Pop,2017,D-Flat Major,170,3B,No
Sorry Not Sorry,Demi Lovato,Pop,2017,B Minor,144,10A,No
Lights,Ellie Goulding,Pop,2010,A-Flat Minor,120,1A,No
Budapest,George Ezra,Edm/Pop,2014,F Major,128,7B,No
Faded,Alan Walker,Edm/Pop,2015,F-Sharp Major,90,2B,No
Wrong Direction,Hailee Steinfeld,Pop,2020,B-Flat Major,72,6B,No
Need You Now,Lady Antebellum,Edm/Pop,2010,E Major,108,12B,No
You Belong With Me,Taylor Swift,Pop,2008,F-Sharp Major,130,2B,No
I Don'T Fuck With You,Big Sean,Pop,2015,D-Flat Major,98,3B,No
Beautiful People <Jack Wins Remix>,Ed Sheeran,Edm/Pop,2019,A-Flat Major,125,4B,No
Roses <Imanbek Remix>,Saint Jhn,Dance Pop,2019,A-Flat Major,122,4B,No
Malibu <Tiesto Remix>,Miley Cyrus,Edm/Pop,2017,A-Flat Major,128,4B,No
So Close,Notd,Dance Pop,2018,B-Flat Major,125,6B,No
Too Good,Drake,Pop,2016,G Major,118,9B,No
Don'T Leave Me Alone <R3Hab Remix>,David Guetta,Edm/Pop,2018,E Minor,128,9A,No
Summer Days,Martin Garrix,Dance Pop,2019,F Minor,114,4A,No
Side Effects <Fedde Le Grand Remix>,The Chainsmokers,Dance Pop,2018,C Minor,126,5A,No
Lovers & Strangers,Starley,Dance Pop,2019,D-Flat Major,110,3B,No
Girls Like You,Maroon 5,Pop,2018,C Major,125,8B,No
Back To You,Louis Tomlinson,Pop,2017,F Minor,75,4A,No
Mercy,Shawn Mendes,Edm/Pop,2016,B Minor,148,10A,No
Die Young,Kesha,Pop,2012,D-Flat Minor,128,12A,No
Break Your Heart,Taio Cruz,Edm/Pop,2010,E-Flat Major,122,5B,No
No Air,Jordin Sparks,Pop,2007,A-Flat Minor,160,1A,No
Gold Jacket,Sam Tsui,Pop,2019,C Major,130,8B,No
Wait,Maroon 5,Hip Hop/Pop,2017,A-Flat Major,126,4B,No
One Kiss,Calvin Harris & Dua Lipa,Dance Pop,2018,A Minor,124,8A,No
Sweet Home Alabama,Lynyrd Skynyrd,Classic Rock,1974,G Major,98,9B,No
Malibu <The Him Remix>,Miley Cyrus,Dance/Edm,2017,F Minor,125,4A,No
Nights Like This,Kehlani,Edm/Pop,2019,A-Flat Major,146,4B,No
Better Now,Post Malone,Pop,2018,B-Flat Major,145,6B,No
Solid Gold,Pnau,Dance Pop,2019,F Minor,105,4A,No
Only You,Hogland,Dance Pop,2019,A-Flat Major,115,4B,No
Nervous <Mark Mccabe Remix>,Gavin James,Tropical,2016,G Major,105,9B,No
Close <Dan E Edit>,Nick Jonas,Edm/Pop,2016,F-Sharp Minor,124,11A,No
Memories,Kshmr,Dance/Edm,2015,A-Flat Minor,128,1A,No
Searchin For Love,Akon,Pop,2013,D Minor,120,7A,No
A Place For Us,Dualities,Dance/Edm,2019,C Major,125,8B,No
Replay,Zendaya,Pop,2013,F-Sharp Minor,140,11A,No
Take What You Want,Post Malone,Pop,2019,D-Flat Minor,140,12A,No
Shots,Lil Jon,Pop,2010,D-Flat Major,128,3B,No
Dancer <Kygo Remix>,Didrik Thulin,Tropical,2013,C Minor,120,5A,No
Summer On You,Sam Feldt,Edm/Pop,2016,G Minor,121,6A,No
I'M So Tired,Lauv,Edm/Pop,2019,B Major,102,1B,No
Lose Control,Meduza,Dance Pop,2019,B-Flat Minor,124,3A,No
Everybody,Logic,Hip Hop,2017,D-Flat Major,110,3B,No
Before You Go,Lewis Capaldi,Dance Pop,2019,E-Flat Major,112,5B,No
Without No Fear,Urchin,Dance Pop,2019,F Minor,127,4A,No
